country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","31-03-2025 00:00:00",25.251013,86.989001,PM2.5,23,52,33
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","31-03-2025 00:00:00",26.146529,87.454184,NO2,6,9,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","31-03-2025 00:00:00",25.5626095,84.663264,NH3,1,1,1
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","31-03-2025 00:00:00",25.7808257,84.7446768,NH3,3,11,6
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","31-03-2025 00:00:00",25.7808257,84.7446768,OZONE,20,150,82
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","31-03-2025 00:00:00",25.204762,85.514960,PM10,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","31-03-2025 00:00:00",25.265194,87.012947,PM10,79,218,138
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","31-03-2025 00:00:00",26.987634,94.636574,SO2,6,11,9
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","31-03-2025 00:00:00",25.697189,85.245900,NH3,6,9,8
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","31-03-2025 00:00:00",25.697189,85.245900,SO2,7,10,9
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","31-03-2025 00:00:00",25.697189,85.245900,OZONE,15,147,58
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","31-03-2025 00:00:00",25.560083,87.553265,NH3,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","31-03-2025 00:00:00",25.560083,87.553265,CO,8,61,35
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","31-03-2025 00:00:00",25.560083,87.553265,OZONE,27,67,67
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","31-03-2025 00:00:00",26.0881305,87.93840336,PM2.5,NA,NA,NA
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","31-03-2025 00:00:00",25.599486,85.113666,NO2,NA,NA,NA
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","31-03-2025 00:00:00",25.599486,85.113666,NH3,NA,NA,NA
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","31-03-2025 00:00:00",25.599486,85.113666,OZONE,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","31-03-2025 00:00:00",25.366336,87.117468,PM2.5,18,335,123
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","31-03-2025 00:00:00",25.366336,87.117468,SO2,3,22,13
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","31-03-2025 00:00:00",27.308328,84.531742,CO,2,118,77
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","31-03-2025 00:00:00",27.308328,84.531742,OZONE,10,29,21
India,Bihar,Munger,"Town Hall, Munger - BSPCB","31-03-2025 00:00:00",25.376776,86.471523,CO,22,58,42
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","31-03-2025 00:00:00",24.792403,84.992416,NO2,3,6,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","31-03-2025 00:00:00",24.792403,84.992416,NH3,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","31-03-2025 00:00:00",24.792403,84.992416,CO,20,134,72
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","31-03-2025 00:00:00",26.1403345,85.3650192,SO2,6,6,6
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","31-03-2025 00:00:00",26.1403345,85.3650192,OZONE,12,133,56
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","31-03-2025 00:00:00",24.762518,84.982348,PM2.5,18,58,39
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","31-03-2025 00:00:00",24.762518,84.982348,CO,11,38,22
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","31-03-2025 00:00:00",25.592539,85.227158,PM10,119,188,148
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","31-03-2025 00:00:00",26.11442,85.39813,PM10,103,334,190
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","31-03-2025 00:00:00",25.586562,85.043586,PM2.5,70,303,119
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","31-03-2025 00:00:00",30.719859,76.738637,CO,34,57,44
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","31-03-2025 00:00:00",30.719859,76.738637,OZONE,15,48,24
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","31-03-2025 00:00:00",21.194815,81.314770,NO2,NA,NA,NA
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","31-03-2025 00:00:00",21.194815,81.314770,NH3,1,2,1
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","31-03-2025 00:00:00",21.194815,81.314770,CO,3,107,53
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","31-03-2025 00:00:00",21.194815,81.314770,OZONE,6,27,13
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","31-03-2025 00:00:00",21.185571,81.343175,PM2.5,18,56,37
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","31-03-2025 00:00:00",21.185571,81.343175,NO2,5,12,7
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","31-03-2025 00:00:00",21.185571,81.343175,CO,30,53,47
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","31-03-2025 00:00:00",22.08815,82.13737,NO2,17,43,31
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","31-03-2025 00:00:00",26.2271665,84.3570427,OZONE,36,122,67
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","31-03-2025 00:00:00",30.735567,76.775714,NO2,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","31-03-2025 00:00:00",30.735567,76.775714,NH3,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","31-03-2025 00:00:00",30.735567,76.775714,SO2,NA,NA,NA
